Internal_ID;Short_title;Article_code;EAN;SKU;NL_Geschikt_voor;NL_Resolutie;NL_Helderheid;NL_Contrast;NL_Projectieverhouding_Throw_Ratio;NL_Projectietechnologie;NL_Branduren_gemiddeld;NL_Keystone_Opties;NL_Smart_functies;NL_Beeldverhouding_Aspect_Ratio;NL_Connectiviteit;NL_Input_Lag;NL_Geluidsniveau;NL_WIFI;NL_Afmetingen;NL_Minimale_Schermgrootte_Diagonaal;NL_Maximale_Schermgrootte_Diagonaal;NL_Gewicht;NL_Garantie;NL_plus;NL_min
163518442;"Optoma UHZ78LV - 4K UHD - 5000 lumen - Laser ";;5055387669109;12246241;"High End Home Cinema";"3840 x 2160    4K UHD";"5000 ANSI Lumen";"4.500.000:1 ";"1.25 – 2.0 : 1";"Laser lichtbron met lange levensduur (30.000 uur)";30.000;"Horizontale en verticale keystone";"Nee (middels Dongle of Chromecast)";;"1× HDMI 2.1, 2× HDMI 2.0 (waarvan 1× eARC), 3× USB-A, RJ-45 (LAN), RS-232, 2× 12V Trigger, 3D Sync, 3,5 mm audio-uitgang, S/PDIF (optische audio)";"14 ms";30dB;Ja;"486 × 432 × 176 mm";"70 inch";"300 inch";11,5Kg;"36 Maanden";"Hoog aantal lumen voor overdag gebruik";"Vrij zwaar"
163563014;"Epson EB-L690SU - WUXGA - 6200 lumen - Short Throw";;8715946738000;EPS-V11HB31040;"Grote Zalen en Evenementen";"1920 x 1200 WUXGA";"6200 ANSI Lumen";"5.000.000:1 ";"0.79 – 1.36 : 1";3LCD;30.000;"Horizontale en verticale keystone";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"2× HDMI (HDCP 2.3), HDMI-uitgang, HDBaseT, 2× USB-A, USB-B (service), RJ-45 (LAN), WiFi (IEEE 802.11a/b/g/n), RS-232C, 3,5 mm audio-uitgang, Miracast, Apple AirPlay 2, NFC";"104 ms";"28 dB";Nee;"44x36x15 cm";"70 inch";"400 inch";"8,9 Kg";"24 Maanden";"Korte projectieafstand";"Geen HDMI kabel meegeleverd"
163563143;"Epson EB-L695SU - WUXGA - 6200 lumen - Short Throw ";;8715946738017;EPS-V11HB31140;"Grote Zalen en Evenementen";"1920 x 1200 WUXGA";"6200 ANSI Lumen";"5.000.000:1 ";"0.79 – 1.36 : 1";3LCD;30.000;"Horizontale en verticale keystone";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"2× HDMI (HDCP 2.3), HDMI-uitgang, HDBaseT, 2× USB-A, USB-B (service), RJ-45 (LAN), WiFi (IEEE 802.11a/b/g/n), RS-232C, 3,5 mm audio-uitgang, Miracast, Apple AirPlay 2, NFC";"104 ms";"28 dB";Nee;"44x36x15 cm";"70 inch";"400 inch";"8,9 Kg";"24 Maanden";"Korte projectieafstand";"Geen HDMI kabel meegeleverd"
163563311;"Epson EB-L690U - WUXGA - 6500 lumen - Normal Throw ";;8715946737980;EPS-V11HB29040;"Grote Zalen en Evenementen";"1920 x 1200 WUXGA";"6500 ANSI Lumen";"5.000.000:1 ";"1.35 – 2.20 : 1";3LCD;30.000;"Horizontale en verticale keystone";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"2× HDMI (HDCP 2.3), HDMI-uitgang, HDBaseT, 2× USB-A, USB-B (service), RJ-45 (LAN), WiFi (IEEE 802.11a/b/g/n), RS-232C, 3,5 mm audio-uitgang, Miracast, Apple AirPlay 2, NFC";"104 ms";"28 dB";Nee;"44x36x15 cm";"70 inch";"400 inch";"8,9 Kg";"24 Maanden";"Normale projectieafstand ";"Geen HDMI kabel meegeleverd"
163563416;"Epson EB-L790U - WUXGA - 7300 Lumen - Normal Throw";;8715946737973;EPS-V11HB28040;"Zakelijk, educatief, grote zalen, musea, evenementen";"WUXGA (1920×1200)";"7.300 ANSI Lumen";2.500.000:1;"1,35 – 2,20";"3LCD laser";"20.000 uur (normaal), 30.000 uur (Eco)";"Verticale en horizontale keystone-correctie, geometriecorrectie, edge blending";"AirPlay 2, Miracast, NFC, Epson Projector Professional Tool, cloudbeheer (EPMC)";"16:10 (ondersteunt ook 16:9, 16:6, 21:9)";"HDMI, HDBaseT, Wi-Fi 6, USB, LAN, Audio In/Out";n.v.t.;"25 dB (Eco), 34 dB (normaal)";"Ja (Wi-Fi 6)";"44x30x12 cm";"70 inch";"200 inch";"7,4 Kg";"36 Maanden  of 12.000 uur (lichtbron), afhankelijk van wat het eerst wordt bereikt";"Flexibele installatie met lens shift en 1,6× zoom";"Geen native 4K-resolutie"
163563458;"Epson EB-L890U - WUXGA - 8000 Lumen - Normal Throw ";;8715946737959;EPS-V11HB27040;"Grote Zalen en Evenementen";"1920 x 1200 WUXGA";"8000 ANSI Lumen";"3.000.000:1 ";"1.35 : 1 tot 2.2 : 1";"3LCD Laser";30.000;"Horizontale en verticale keystone";"Ja (Apps middels Dongle of Chromecast)";"16:9 - 16:10";"Audio, 1 x 10W ; Connections, 2x HDMI in und 1x out. Mini Jack Audio out. USB in. RS232C Din 9 pin in. RJ45 in HDBaseT";"22 ms";"32 dB";Ja;"44x34x14 cm";"70 inch";"200 inch";"8,4 Kg";"36 Maanden";"Zeer krachtige 8.000 ANSI lumen";"Geen HDMI kabel meegeleverd"
163563475;"Epson EB-L895U - WUXGA - 8000 Lumen - Normal Throw  ";;8715946737966;EPS-V11HB27140;"Grote Zalen en Evenementen";"1920 x 1200 WUXGA";"8000 ANSI Lumen";"3.000.000:1 ";"1.35 : 1 tot 2.2 : 1";"3LCD Laser";30.000;"Horizontale en verticale keystone";"Ja (Apps middels Dongle of Chromecast)";"16:9 - 16:10";"Audio, 1 x 10W ; Connections, 2x HDMI in und 1x out. Mini Jack Audio out. USB in. RS232C Din 9 pin in. RJ45 in HDBaseT";"22 ms";"32 dB";Ja;"44x34x14 cm";"70 inch";"200 inch";"8,4 Kg";"36 Maanden";"Zeer krachtige 8.000 ANSI lumen";"Geen HDMI kabel meegeleverd"
163573384;"Optoma ZH401e - Full HD - 4600 Lumen - Laser";;5055387669468;12541091;"Kantoor, School en Thuis";"1920 x 1080 FULL HD";"4600 ANSI Lumen";"2.000.000:1 ";"1.48 – 1.62 : 1";Laser;30.000;"±30° horizontaal / ±30° verticaal";"Nee (middels Dongle of Chromecast)";"16:9 - 16:10";"2× HDMI 2.0, VGA, 3,5 mm audio-ingang, 3,5 mm audio-uitgang, 2× USB-A (voeding), RJ-45 (LAN), RS-232, 12V Trigger, 3D Sync";"16 ms";"30 dB";"Nee (middels Dongle of Chromecast)";"27x21x11 cm";"70 inch";"200 inch";"2,9 Kg";"24 Maanden";"Scherp Beeld -  Full HD";Geen
163574081;"Hisense M2 Pro - 4K - 1300 Lumen - TriChroma Laser ";;6942351423036;"m2 pro";"Home Cinema & Onderweg";"3840 x 2160    4K UHD";"1300 ANSI Lumen";"1.000:1 ";"1.0 – 1.3 : 1";"TriChroma Laser";30.000;"Auto Keystone & Scherpstellen ";Ja;"16:9 - 16:10";"HDMI (eARC), USB-A, USB-C, 3,5 mm audio-uitgang, WiFi, Bluetooth, Ethernet (LAN)";"12 ms";"28 dB";Ja;"19x23x21 cm";"70 inch";"200 inch";"3,9 Kg";"24 Maanden";"1300 lumen TriChroma RGB Triple Laser";"Niet geschikt voor in de zon"
163576030;"Optoma Photon PK52 - 4K -3500 lumen - Laser beamer - Retourdeal – Getest, compleet en in nieuwstaat!";;5055387668980;" 12246242";"Home Cinema";"3840 x 2160    4K UHD";"3500 ANSI Lumen";"1.500.000:1 ";" 1.21:1 ~ 1.59:1";Laser;20.000;"Horizontale en verticale keystone";"Nee (middels Dongle of Chromecast)";16:9;"Inputs 2 x HDMI 2.0. Outputs 1 x USB-A power 1.5A, 1 x Audio 3.5mm";"4 ms";30dB;Nee;"23x21x13 cm";"70 inch";"200 inch";"3,4 Kg";"36 Maanden";"Eenvoudig mee te nemen";"Geen HDMI kabel meegeleverd"
